# Wavelength(μm)  CH4_only    Sorg_1x     Sorg_10x      Sorg_20x      Sorg_50x
1.0482E+00    2.8669E-03    2.8676E-03    2.8823E-03    2.8900E-03    2.8709E-03
1.0524E+00    2.8663E-03    2.8668E-03    2.8808E-03    2.8885E-03    2.8700E-03
1.0566E+00    2.8618E-03    2.8621E-03    2.8736E-03    2.8806E-03    2.8655E-03
1.0608E+00    2.8625E-03    2.8624E-03    2.8705E-03    2.8759E-03    2.8624E-03
1.0651E+00    2.8638E-03    2.8634E-03    2.8700E-03    2.8746E-03    2.8614E-03
1.0693E+00    2.8692E-03    2.8684E-03    2.8730E-03    2.8758E-03    2.8614E-03
1.0736E+00    2.8688E-03    2.8680E-03    2.8713E-03    2.8732E-03    2.8595E-03
1.0779E+00    2.8699E-03    2.8690E-03    2.8722E-03    2.8739E-03    2.8599E-03
1.0822E+00    2.8776E-03    2.8765E-03    2.8800E-03    2.8816E-03    2.8643E-03
1.0865E+00    2.8809E-03    2.8799E-03    2.8862E-03    2.8894E-03    2.8694E-03
1.0909E+00    2.8896E-03    2.8886E-03    2.8976E-03    2.9018E-03    2.8763E-03
1.0952E+00    2.8916E-03    2.8905E-03    2.8988E-03    2.9027E-03    2.8767E-03
1.0996E+00    2.8941E-03    2.8927E-03    2.8985E-03    2.9008E-03    2.8753E-03
1.1040E+00    2.8979E-03    2.8964E-03    2.9038E-03    2.9071E-03    2.8789E-03
1.1084E+00    2.9052E-03    2.9041E-03    2.9169E-03    2.9226E-03    2.8875E-03
1.1129E+00    2.9108E-03    2.9095E-03    2.9229E-03    2.9285E-03    2.8905E-03
1.1173E+00    2.9195E-03    2.9180E-03    2.9331E-03    2.9393E-03    2.8963E-03
1.1218E+00    2.9293E-03    2.9277E-03    2.9459E-03    2.9530E-03    2.9036E-03
1.1263E+00    2.9334E-03    2.9319E-03    2.9515E-03    2.9589E-03    2.9066E-03
1.1308E+00    2.9307E-03    2.9290E-03    2.9472E-03    2.9541E-03    2.9042E-03
1.1353E+00    2.9386E-03    2.9369E-03    2.9573E-03    2.9649E-03    2.9100E-03
1.1398E+00    2.9264E-03    2.9252E-03    2.9441E-03    2.9513E-03    2.9024E-03
1.1444E+00    2.9318E-03    2.9304E-03    2.9507E-03    2.9584E-03    2.9062E-03
1.1490E+00    2.9399E-03    2.9383E-03    2.9599E-03    2.9680E-03    2.9114E-03
1.1535E+00    2.9451E-03    2.9434E-03    2.9652E-03    2.9732E-03    2.9143E-03
1.1582E+00    2.9394E-03    2.9378E-03    2.9583E-03    2.9659E-03    2.9103E-03
1.1628E+00    2.9504E-03    2.9484E-03    2.9704E-03    2.9780E-03    2.9172E-03
1.1674E+00    2.9428E-03    2.9411E-03    2.9627E-03    2.9705E-03    2.9128E-03
1.1721E+00    2.9397E-03    2.9381E-03    2.9593E-03    2.9671E-03    2.9110E-03
1.1768E+00    2.9336E-03    2.9323E-03    2.9530E-03    2.9609E-03    2.9076E-03
1.1815E+00    2.9265E-03    2.9254E-03    2.9453E-03    2.9531E-03    2.9035E-03
1.1862E+00    2.9250E-03    2.9239E-03    2.9433E-03    2.9508E-03    2.9023E-03
1.1910E+00    2.9265E-03    2.9255E-03    2.9456E-03    2.9534E-03    2.9037E-03
1.1957E+00    2.9225E-03    2.9216E-03    2.9410E-03    2.9484E-03    2.9011E-03
1.2005E+00    2.9178E-03    2.9170E-03    2.9356E-03    2.9428E-03    2.8981E-03
1.2053E+00    2.9158E-03    2.9146E-03    2.9305E-03    2.9370E-03    2.8949E-03
1.2101E+00    2.9083E-03    2.9075E-03    2.9235E-03    2.9302E-03    2.8915E-03
1.2150E+00    2.9034E-03    2.9026E-03    2.9176E-03    2.9241E-03    2.8884E-03
1.2198E+00    2.8987E-03    2.8977E-03    2.9100E-03    2.9158E-03    2.8839E-03
1.2247E+00    2.8953E-03    2.8947E-03    2.9085E-03    2.9151E-03    2.8838E-03
1.2296E+00    2.8954E-03    2.8949E-03    2.9099E-03    2.9167E-03    2.8847E-03
1.2345E+00    2.8910E-03    2.8908E-03    2.9057E-03    2.9123E-03    2.8824E-03
1.2395E+00    2.8860E-03    2.8860E-03    2.9017E-03    2.9092E-03    2.8809E-03
1.2444E+00    2.8796E-03    2.8799E-03    2.8948E-03    2.9017E-03    2.8769E-03
1.2494E+00    2.8714E-03    2.8716E-03    2.8844E-03    2.8910E-03    2.8712E-03
1.2544E+00    2.8693E-03    2.8693E-03    2.8801E-03    2.8860E-03    2.8683E-03
1.2594E+00    2.8662E-03    2.8662E-03    2.8767E-03    2.8825E-03    2.8663E-03
1.2644E+00    2.8664E-03    2.8662E-03    2.8747E-03    2.8796E-03    2.8644E-03
1.2695E+00    2.8660E-03    2.8657E-03    2.8734E-03    2.8779E-03    2.8633E-03
1.2746E+00    2.8664E-03    2.8660E-03    2.8726E-03    2.8766E-03    2.8624E-03
1.2797E+00    2.8694E-03    2.8687E-03    2.8739E-03    2.8769E-03    2.8622E-03
1.2848E+00    2.8719E-03    2.8712E-03    2.8771E-03    2.8804E-03    2.8643E-03
1.2899E+00    2.8777E-03    2.8768E-03    2.8823E-03    2.8850E-03    2.8668E-03
1.2951E+00    2.8850E-03    2.8839E-03    2.8896E-03    2.8920E-03    2.8707E-03
1.3003E+00    2.8896E-03    2.8889E-03    2.8992E-03    2.9041E-03    2.8778E-03
1.3055E+00    2.8981E-03    2.8973E-03    2.9097E-03    2.9151E-03    2.8836E-03
1.3107E+00    2.9023E-03    2.9012E-03    2.9131E-03    2.9182E-03    2.8853E-03
